global_step,LRAP,train_loss,eval_loss
16500,0.865628367872195,0.2149931937456131,0.2572177082618078
17000,0.8653223347506067,0.23051629960536957,0.25819359017213184
17500,0.8651684149891166,0.3055923581123352,0.258267634956042
18000,0.8664277479325588,0.25796839594841003,0.25594377630551657
18500,0.8677067643861426,0.2868553102016449,0.25473329484462737
19000,0.8703918136217088,0.22483272850513458,0.25205446093877154
19417,0.8713577561665208,0.27526599168777466,0.2508794725974401
19500,0.8694756800967369,0.2528057098388672,0.25249355980555216
20000,0.8707421707365384,0.2281256914138794,0.2516035240093867
20500,0.8727785952957848,0.2711031436920166,0.2492481208483378
21000,0.8735498667175117,0.24118652939796448,0.2481734965721766
21500,0.873486547505876,0.2517470717430115,0.24817512103716532
22000,0.8750655269862975,0.2445630133152008,0.24670482544104258
22500,0.8746251057585603,0.21305115520954132,0.24707884397506713
23000,0.8763160240698075,0.18631942570209503,0.24524784778753916
23500,0.8764860853912222,0.24798865616321564,0.24516192304293313
23792,0.8759745794663854,0.2476147711277008,0.24580687046051025
24000,0.8770905047908818,0.2645537257194519,0.2448147612174352
24500,0.8774865794269792,0.22911162674427032,0.24397282252311706
25000,0.8774436833270267,0.28115877509117126,0.24407639690240224
25500,0.8776169379571243,0.21409571170806885,0.24374052469730378
26000,0.8786722560016992,0.2075691968202591,0.24274983967145283
26500,0.878760250446286,0.2767733037471771,0.24261127622127532
27000,0.8795002627101098,0.21669498085975647,0.2419349862655004
27500,0.8800563730829453,0.20720529556274414,0.24117656087875367
28000,0.8804514876837946,0.23095853626728058,0.2407227237145106
28167,0.8801535835728016,0.2254621982574463,0.24096795608997346
28500,0.8804345264244654,0.2370578497648239,0.2407498507340749
29000,0.879268682200314,0.23167191445827484,0.24195928842226663
29500,0.8797418303145416,0.21830716729164124,0.2416214171409607
30000,0.8801484972131866,0.21806417405605316,0.2407681870142619
